num = 1991,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1992,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1993,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1994,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1995,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1996,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1997,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1998,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 1999,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2000,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2001,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2002,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2003,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2004,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2005,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2006,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2007,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2008,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2009,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2010,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2011,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2012,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2013,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2014,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2015,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2016,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2017,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2018,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2019,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2020,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2021,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2022,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2023,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2024,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2025,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2026,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2027,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2028,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2029,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2030,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2031,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2032,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2033,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2034,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2035,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2036,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2037,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2038,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2039,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2040,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
